G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.33265,0.368,0.097,0.78,-0.76188,0.434
0.3441,0.372,0.08,0.78,-0.76187,0.4495
0.3564,0.374,0.064,0.77,-0.76186,0.4615
0.3652,0.378,0.113,0.77,-0.76185,0.4755
0.37355,0.384,0.08,0.75,-0.76184,0.485
0.38315,0.382,0.097,0.74,-0.76183,0.5
0.3936,0.386,0.08,0.74,-0.76182,0.5055
0.40135,0.386,0.113,0.73,-0.76181,0.514
0.413,0.386,0.161,0.73,-0.7618,0.527
0.422,0.388,0.097,0.73,-0.76179,0.539
0.4339,0.392,0.097,0.72,-0.76178,0.5505
0.44065,0.394,0.08,0.72,-0.76176,0.5575
0.44985,0.396,0.08,0.72,-0.76175,0.5715
0.458,0.396,0.145,0.71,-0.76174,0.575
0.4678,0.394,0.161,0.71,-0.76173,0.579
0.4754,0.396,0.161,0.71,-0.76172,0.5835
0.4844,0.396,0.113,0.71,-0.76171,0.5985
0.48765,0.4,0.145,0.7,-0.7617,0.6095
0.4979,0.402,0.113,0.7,-0.76169,0.623
0.5042,0.404,0.113,0.7,-0.76168,0.6305
0.5118,0.406,0.097,0.7,-0.76167,0.6355
0.51955,0.406,0.145,0.68,-0.76166,0.643
0.52505,0.404,0.161,0.68,-0.76164,0.646
0.5312,0.404,0.113,0.69,-0.76163,0.653
0.5365,0.41,0.129,0.69,-0.76162,0.6525
0.54285,0.414,0.161,0.68,-0.76161,0.662
0.54695,0.414,0.113,0.68,-0.7616,0.671
0.5529,0.414,0.177,0.68,-0.76159,0.6755
0.55985,0.412,0.129,0.68,-0.76158,0.6835
0.5639,0.414,0.097,0.68,-0.76157,0.685
0.56925,0.418,0.097,0.67,-0.76156,0.6885
0.57495,0.424,0.161,0.66,-0.76155,0.691
0.5778,0.42,0.145,0.66,-0.76154,0.694
0.58255,0.424,0.145,0.66,-0.76152,0.6965
0.5864,0.422,0.129,0.66,-0.76151,0.705
0.5907,0.426,0.145,0.65,-0.7615,0.706
0.59275,0.426,0.113,0.66,-0.76149,0.708
0.59765,0.428,0.097,0.65,-0.76148,0.7085
0.6001,0.428,0.097,0.66,-0.76147,0.713
0.5997,0.434,0.08,0.66,-0.76146,0.717
0.60565,0.436,0.064,0.67,-0.76145,0.7205
0.6044,0.434,0.08,0.65,-0.76144,0.7215
0.60645,0.428,0.161,0.65,-0.76143,0.7295
0.6077,0.424,0.08,0.65,-0.76141,0.738
0.6081,0.428,0.129,0.65,-0.7614,0.7365
0.6089,0.432,0.097,0.65,-0.76139,0.7375
0.61035,0.436,0.113,0.64,-0.76138,0.739
0.6124,0.44,0.097,0.63,-0.76137,0.739
0.61055,0.446,0.097,0.63,-0.76136,0.74
0.61055,0.446,0.129,0.62,-0.76135,0.7305
0.61155,0.448,0.145,0.62,-0.76134,0.73
0.6097,0.44,0.032,0.65,-0.76133,0.7285
0.61055,0.442,0.177,0.64,-0.76132,0.722
0.6087,0.44,0.113,0.64,-0.76131,0.731
0.6077,0.442,0.064,0.64,-0.76129,0.7305
0.60545,0.442,0.113,0.64,-0.76128,0.7215
0.6046,0.442,0.161,0.65,-0.76127,0.7165
0.60135,0.442,0.113,0.64,-0.76126,0.718
0.6005,0.444,0.08,0.65,-0.76125,0.7155
0.5991,0.444,0.129,0.66,-0.76124,0.7105
0.59355,0.446,0.097,0.65,-0.76123,0.7085
0.59175,0.448,0.113,0.63,-0.76122,0.699
0.5866,0.45,0.113,0.63,-0.76121,0.6955
0.5819,0.448,0.113,0.64,-0.76119,0.6955
0.57845,0.446,0.113,0.65,-0.76118,0.6945
0.5764,0.45,0.129,0.65,-0.76117,0.689
0.57085,0.442,0.193,0.65,-0.76116,0.689
0.56615,0.434,0.177,0.67,-0.76115,0.682
0.5629,0.434,0.129,0.69,-0.76114,0.6715
0.5543,0.432,0.193,0.68,-0.76113,0.6675
0.5492,0.432,0.177,0.68,-0.76112,0.6585
0.5443,0.434,0.225,0.68,-0.76111,0.6525
0.53735,0.434,0.193,0.68,-0.7611,0.644
0.5318,0.44,0.145,0.66,-0.76108,0.634
0.52485,0.442,0.161,0.66,-0.76107,0.623
0.5167,0.444,0.177,0.66,-0.76106,0.6175
0.512,0.446,0.177,0.65,-0.76105,0.61
0.50215,0.444,0.209,0.66,-0.76104,0.601
0.49565,0.442,0.145,0.66,-0.76103,0.587
0.48765,0.448,0.08,0.67,-0.76102,0.5785
0.47865,0.452,0.177,0.66,-0.76101,0.5685
0.4713,0.446,0.145,0.66,-0.761,0.56
