G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.1901500000,0.3600000000,0.1290000000,0.8200000000,-0.7668201138,737791.6944444445,0.1835000000
0.1558000000,0.3580000000,0.2090000000,0.8200000000,-0.7668107658,737791.6979166666,0.1990000000
0.1631500000,0.3540000000,0.1610000000,0.8200000000,-0.7668014148,737791.7013888889,0.1990000000
0.1687000000,0.3560000000,0.1130000000,0.8300000000,-0.7667920607,737791.7048611111,0.1960000000
0.1617500000,0.3560000000,0.1450000000,0.8200000000,-0.7667827035,737791.7083333334,0.2890000000
0.1683000000,0.3560000000,0.1450000000,0.8200000000,-0.7667733432,737791.7118055555,0.1920000000
0.1627500000,0.3580000000,0.1930000000,0.8200000000,-0.7667639799,737791.7152777778,0.1860000000
0.1447500000,0.3560000000,0.2090000000,0.8200000000,-0.7667546135,737791.7187500000,0.1670000000
0.1439500000,0.3560000000,0.1290000000,0.8200000000,-0.7667452440,737791.7222222223,0.1655000000
0.1214500000,0.3560000000,0.1450000000,0.8100000000,-0.7667358715,737791.7256944445,0.1830000000
0.1341500000,0.3620000000,0.1290000000,0.8100000000,-0.7667264959,737791.7291666666,0.1470000000
0.1278000000,0.3620000000,0.1130000000,0.8000000000,-0.7667171172,737791.7326388889,0.1310000000
0.1079500000,0.3620000000,0.1130000000,0.8100000000,-0.7667077355,737791.7361111111,0.1325000000
0.1180000000,0.3620000000,0.2250000000,0.8000000000,-0.7666983507,737791.7395833334,0.0915000000
0.0881500000,0.3600000000,0.1770000000,0.8100000000,-0.7666889628,737791.7430555555,0.0980000000
0.0838500000,0.3580000000,0.1290000000,0.8100000000,-0.7666795719,737791.7465277778,0.0775000000
0.0771000000,0.3560000000,0.1930000000,0.8200000000,-0.7666701779,737791.7500000000,0.0865000000
0.0769000000,0.3560000000,0.2250000000,0.8200000000,-0.7666607808,737791.7534722223,0.0785000000
0.0783000000,0.3560000000,0.1610000000,0.8200000000,-0.7666513807,737791.7569444445,0.1040000000
0.0828000000,0.3540000000,0.1290000000,0.8200000000,-0.7666419774,737791.7604166666,0.0830000000
0.0781000000,0.3540000000,0.1450000000,0.8200000000,-0.7666325712,737791.7638888889,0.0890000000
0.0854500000,0.3500000000,0.1610000000,0.8200000000,-0.7666231618,737791.7673611111,0.0740000000
0.0769000000,0.3480000000,0.1610000000,0.8300000000,-0.7666137494,737791.7708333334,0.0775000000
0.0709500000,0.3480000000,0.1770000000,0.8200000000,-0.7666043339,737791.7743055555,0.0765000000
0.0681000000,0.3480000000,0.1930000000,0.8200000000,-0.7665949154,737791.7777777778,0.0890000000
0.0801500000,0.3480000000,0.1610000000,0.8300000000,-0.7665854937,737791.7812500000,0.0730000000
0.0760500000,0.3460000000,0.1930000000,0.8200000000,-0.7665760691,737791.7847222223,0.0685000000
0.0719500000,0.3440000000,0.1450000000,0.8300000000,-0.7665666413,737791.7881944445,0.0615000000
0.0926000000,0.3500000000,0.0160000000,0.9100000000,-0.7650385602,737792.3368055555,0.1380000000
0.1237000000,0.3500000000,0.0480000000,0.9100000000,-0.7650286453,737792.3402777778,0.1375000000
0.1118500000,0.3520000000,0.0160000000,0.9100000000,-0.7650187275,737792.3437500000,0.1580000000
0.1343500000,0.3520000000,0.0320000000,0.9100000000,-0.7650088065,737792.3472222223,0.1515000000
0.1341500000,0.3520000000,0.0480000000,0.9100000000,-0.7649988825,737792.3506944445,0.1875000000
0.1409000000,0.3540000000,0.0480000000,0.9000000000,-0.7649889555,737792.3541666666,0.2070000000
0.1725500000,0.3540000000,0.0640000000,0.9000000000,-0.7649790254,737792.3576388889,0.2250000000
0.1822000000,0.3540000000,0.0640000000,0.9000000000,-0.7649690922,737792.3611111111,0.1970000000
0.1607000000,0.3540000000,0.0320000000,0.9000000000,-0.7649591560,737792.3645833334,0.2050000000
0.1742000000,0.3560000000,0.0480000000,0.9000000000,-0.7649492167,737792.3680555555,0.2490000000
0.1924000000,0.3560000000,0.0640000000,0.9000000000,-0.7649392743,737792.3715277778,0.3400000000
0.2049000000,0.3560000000,0.0160000000,0.9000000000,-0.7649293289,737792.3750000000,0.2070000000
0.1644000000,0.3580000000,0.0640000000,0.8900000000,-0.7649193805,737792.3784722223,0.2665000000
0.1928000000,0.3580000000,0.0320000000,0.8900000000,-0.7649094289,737792.3819444445,0.2390000000
0.1646000000,0.3580000000,0.0320000000,0.8900000000,-0.7648994743,737792.3854166666,0.2600000000
0.1916000000,0.3600000000,0.0640000000,0.8900000000,-0.7648895167,737792.3888888889,0.2365000000
0.1969000000,0.3620000000,0.0640000000,0.8900000000,-0.7648795560,737792.3923611111,0.2410000000
0.2006000000,0.3640000000,0.0480000000,0.8900000000,-0.7648695923,737792.3958333334,0.6510000000
0.1889500000,0.3660000000,0.0320000000,0.8800000000,-0.7648596254,737792.3993055555,0.2625000000
0.2190000000,0.3660000000,0.0480000000,0.8800000000,-0.7648496556,737792.4027777778,0.3120000000
0.1920000000,0.3680000000,0.0320000000,0.8800000000,-0.7648396826,737792.4062500000,0.2285000000
0.1881000000,0.3700000000,0.0480000000,0.8800000000,-0.7648297066,737792.4097222223,0.3130000000
0.2059000000,0.3720000000,0.0640000000,0.8700000000,-0.7648197276,737792.4131944445,0.3575000000
